Date,Product,Customer,Amount,Payment_Method,Order_ID
2025-05-14 09:15:59.161785,laptpo,bob ,N/A,CARD,ORD9035
2025-08-11 09:15:59.161813,Head-phones,ALICE,-275.87086123502553,CARD,ORD6301
2025-05-13 09:15:59.161852,Monitor,Charlie,-241.75836261780302,MoBile MoNeY,ORD4657
2025-06-09 09:15:59.162042,Head-phones,Bob,1256.07,MoBile MoNeY,ORD8005
2025-08-21 09:15:59.161725,ph0ne,Eve,-294.96223681285994,Bank Transfer,ORD1427
2025-02-24 09:15:59.162220,Headphones,EVE ,-278.9140802674794,Mobile Money,ORD7602
2025-07-17 09:15:59.161565,Monitor,Frank,953.58,MoBile MoNeY,ORD9412
2025-06-16 09:15:59.162472,keyboard ,ALICE,,Bank Transfer,ORD7628
2025-01-19 09:15:59.161904,laptpo,Bob,-416.71840513149357,Card,ORD5088
2025-04-29 09:15:59.161671,MONITOR,DAVID,,CARD,ORD3435
2025-03-05 09:15:59.161762,MONITOR,ALICE,-196.38523281180917,CARD,ORD3846
2025-05-07 09:15:59.161701,Headphones,ALICE,-460.6126518823558,cash,ORD9907
2025-04-19 09:15:59.162174,Keyboard,DAVID,478.9,Cash,ORD7510
2024-12-05 09:15:59.162049,Keyboard,Bob,N/A,Cash,ORD4271
2025-09-10 09:15:59.162027, MOUSE ,Frank,N/A,CARD,ORD2571
2025-05-22 09:15:59.162457, MOUSE ,EVE ,-355.4014590499261,MoBile MoNeY,ORD1930
2025-07-01 09:15:59.161731,Headphones,Frank,,Bank Transfer,ORD1480
2025-05-14 09:15:59.162241,Laptop,Alice,,MoBile MoNeY,ORD1331
2025-04-20 09:15:59.161963, MOUSE ,bob ,-418.50961081519756,MoBile MoNeY,ORD2215
2025-03-06 09:15:59.162507,Mouse,frank,N/A,MoBile MoNeY,ORD5237
2025-08-13 09:15:59.161578,Keyboard,Charlie,N/A,cash,ORD3848
2024-11-21 09:15:59.162340,Head-phones,David,231.72,Cash,ORD3029
2024-12-17 09:15:59.161841,keyboard ,Eve,-294.162458102868,cash,ORD3580
2024-10-12 09:15:59.162421, MOUSE ,Charlie,-258.5843432386353,Mobile Money,ORD1120
2025-09-14 09:15:59.161555,Monitor,Eve,1106.39,Card,ORD2494
2024-11-06 09:15:59.162362,laptpo,bob ,N/A,cash,ORD2480
2025-04-06 09:15:59.162086, MOUSE ,Charlie,,Mobile Money,ORD4056
2025-03-25 09:15:59.161909,Head-phones,EVE ,N/A,MoBile MoNeY,ORD5205
2025-01-19 09:15:59.162354,Keyboard,bob ,231.5,CARD,ORD6730
2024-12-28 09:15:59.161927,MONITOR,ALICE,N/A,Cash,ORD7204
2025-07-01 09:15:59.161731,Headphones,Frank,,Bank Transfer,ORD1480
2025-09-14 09:15:59.162483, MOUSE ,bob ,N/A,Bank Transfer,ORD9759
2025-07-12 09:15:59.162395,keyboard ,Frank,-147.8646058030289,cash,ORD4666
2025-05-16 09:15:59.162231,Head-phones,Charlie,-127.87647701520633,cash,ORD4892
2025-04-29 09:15:59.161860,Headphones,Eve,194.58,cash,ORD5825
2025-06-06 09:15:59.162013,Keyboard,Charlie,740.56,Card,ORD4367
2025-07-06 09:15:59.162377,keyboard ,DAVID,239.61,Cash,ORD4387
2024-11-05 09:15:59.161729,ph0ne,Bob,N/A,Card,ORD4588
2025-03-29 09:15:59.161713,keyboard ,bob ,N/A,Mobile Money,ORD8940
2025-01-17 09:15:59.161811,keyboard ,Eve,218.09,cash,ORD3907
2025-05-24 09:15:59.161734,laptpo,David,N/A,CARD,ORD1959
2025-07-07 09:15:59.161821,Headphones,DAVID,,MoBile MoNeY,ORD2817
2025-05-07 09:15:59.161614,Keyboard,Frank,N/A,Bank Transfer,ORD1357
2024-10-18 09:15:59.161716, MOUSE ,Bob,,Cash,ORD9231
2025-07-05 09:15:59.161709,ph0ne,Eve,N/A,Cash,ORD8859
2024-12-04 09:15:59.162212, MOUSE ,Charlie,N/A,Mobile Money,ORD8955
2024-12-21 09:15:59.161576,Mouse,ALICE,-104.00164556517227,cash,ORD5262
2024-10-22 09:15:59.162321,Head-phones,DAVID,N/A,Card,ORD1541
2024-10-08 09:15:59.161957,Laptop,frank,,CARD,ORD6221
2024-11-05 09:15:59.161704,Mouse,Charlie,517.34,Bank Transfer,ORD7266
2025-06-16 09:15:59.161959,Head-phones,DAVID,-191.79564258857252,CARD,ORD5278
2025-09-05 09:15:59.162411,MONITOR,Eve,-107.53836196070048,cash,ORD4575
2025-07-31 09:15:59.162390,Head-phones,David,773.2,Bank Transfer,ORD3167
2024-12-21 09:15:59.162397,Laptop, charlie,464.34,Cash,ORD5135
2025-06-11 09:15:59.161714,Monitor,Charlie,N/A,MoBile MoNeY,ORD6636
2025-03-16 09:15:59.161699,Head-phones,EVE ,N/A,Card,ORD5082
2024-11-20 09:15:59.161944,Monitor,frank,1377.12,MoBile MoNeY,ORD2207
2025-02-06 09:15:59.161702,Headphones,Charlie,N/A,CARD,ORD1319
2025-09-01 09:15:59.162116,MONITOR,Eve,,Cash,ORD1999
2025-06-14 09:15:59.162233,ph0ne,Charlie,N/A,CARD,ORD1807
2025-01-21 09:15:59.162040,Head-phones,Frank,1045.89,CARD,ORD1062
2024-11-19 09:15:59.161885,MONITOR,frank,-48.69449182339737,Cash,ORD4899
2025-06-01 09:15:59.161756,Laptop,ALICE,N/A,MoBile MoNeY,ORD4594
2024-12-25 09:15:59.161792, MOUSE ,Frank,182.42,cash,ORD4811
2025-07-09 09:15:59.162438,Head-phones,David,,CARD,ORD6509
2024-11-02 09:15:59.162499,Monitor,EVE ,-75.75797354444317,CARD,ORD8713
2024-11-25 09:15:59.161827,Head-phones,EVE ,,Mobile Money,ORD2188
2025-08-27 09:15:59.162022,Monitor,David,-250.23173853067038,CARD,ORD5612
2025-03-21 09:15:59.161711,Phone,Eve,,CARD,ORD9921
2025-02-12 09:15:59.162379,keyboard ,EVE ,N/A,Card,ORD5408
2025-08-03 09:15:59.161876,Laptop,bob ,1468.59,MoBile MoNeY,ORD2705
2025-09-25 09:15:59.162142,Mouse, charlie,N/A,Mobile Money,ORD2970
2025-05-30 09:15:59.161695,Monitor, charlie,1281.88,Card,ORD4267
